Time,Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2]
1.201202,43,1,746767.46,3150499.98,7.5308,1.5368,-0.2171
1.201202,19,8,746778.1,3150531.02,19.5033,0.08,0.7964
1.201202,28,3,746839.34,3150497.64,22.5813,1.3366,-0.3268
1.201202,37,2,746844.62,3150536.82,26.0549,-0.0574,0.6871
1.201202,7,1,746769.68,3150528.9,18.4276,0.5001,-0.2329
1.201202,33,1,746823.49,3150502.2,22.8656,0.7206,-0.7177
1.201202,11,1,746745.75,3150581.28,40.3727,0.9693,-0.5732
1.201202,6,1,746818.89,3150572.55,20.0798,0.1682,1.3031
1.201202,24,3,746869.21,3150507.94,30.703,-0.066,-0.5479
1.201202,15,1,746828.95,3150568.07,23.9352,-0.4845,1.474
1.201202,27,3,746801.5,3150580.07,23.6814,-0.087,-0.1155
1.201202,20,8,746848.51,3150497.19,8.7814,0.5037,-0.0012
1.201202,8,1,746768.74,3150589.33,11.5923,0.3512,-0.2371
1.201202,39,3,746770.12,3150547.38,32.8809,1.3486,-1.0259
1.201202,16,1,746766.69,3150532.34,0.1465,0.0046,-0.0042
1.201202,23,3,746765.3,3150538.98,0.0132,-0.0295,-0.0426
1.201202,26,4,746834.42,3150505.2,14.963,-0.0686,-0.2163
1.201202,38,3,746858.27,3150517.92,25.6494,0.4742,-0.7001
1.201202,14,1,746810.93,3150576.85,21.6134,-0.275,0.4491
1.201202,31,3,746862.39,3150513.95,31.83,0.611,-1.1722
1.201202,34,3,746812.44,3150510.37,23.8667,-0.0405,1.7565
1.201202,42,3,746810.61,3150497.85,0.014,-0.0062,0.0462
1.201202,25,3,746866.85,3150508.09,35.7311,0.1234,-0.823
1.201202,1,1,746810.66,3150506.59,24.1032,0.4838,0.323
1.201202,46,1,746842.08,3150541.03,16.6466,0.3524,0.0776
1.201202,2,2,746816.42,3150577.12,20.2108,0.101,0.8348
1.201202,21,3,746857.06,3150524.72,26.9091,0.5421,-1.3616
1.201202,36,4,746753.03,3150574.07,35.5583,0.6502,-1.1607
1.201202,4,4,746783.96,3150521.9,19.5356,-0.003,0.666
1.201202,45,3,746807.77,3150580.6,23.9912,-0.3906,0.0889
1.201202,3,1,746855.46,3150490.0,8.428,-1.292,0.1247
1.401402,31,3,746863.63,3150512.64,32.167,0.3585,-1.0734
1.401402,1,1,746809.33,3150506.83,24.4432,0.4629,0.4594
1.401402,8,1,746769.26,3150588.98,11.92,0.5406,-0.275
1.401402,27,3,746802.8,3150579.84,23.639,0.0023,-0.0259
1.401402,21,3,746857.86,3150523.45,27.2942,0.5117,-1.3079
1.401402,36,4,746751.83,3150575.66,36.0083,0.5667,-1.0852
1.401402,15,1,746829.95,3150567.22,23.6653,-0.147,1.4731
1.401402,5,1,746792.95,3150579.22,19.5813,-0.2591,-0.3899
1.401402,2,2,746817.5,3150576.81,20.3014,0.1393,0.9907
1.401402,7,1,746769.63,3150529.93,18.7958,0.5082,-0.4701
1.401402,39,3,746769.54,3150549.15,33.8419,1.2917,-1.2582
1.401402,30,3,746775.47,3150550.45,19.0742,0.1406,0.4855
1.401402,19,8,746777.79,3150532.06,19.5612,0.0843,0.7647
1.401402,9,1,746799.94,3150575.76,17.1592,-0.1906,-0.1475
1.401402,4,4,746783.35,3150522.81,19.5231,-0.0591,0.6025
1.401402,46,1,746841.87,3150540.14,16.9933,0.6288,0.0908
1.401402,25,3,746868.35,3150506.74,35.6532,-0.3825,-0.609
1.401402,44,1,746848.54,3150574.56,12.9188,2.4844,-0.5921
1.401402,40,3,746834.52,3150520.84,23.1285,-0.8072,1.2494
1.401402,24,3,746870.5,3150506.8,30.5748,-0.3358,-0.4716
1.401402,43,1,746767.69,3150500.37,8.7184,1.716,-0.2978
1.401402,22,1,746773.7,3150522.12,16.0088,-0.3421,-0.2195
1.401402,6,1,746819.93,3150572.15,20.2087,0.2138,1.2249
1.401402,11,1,746744.2,3150582.94,41.0855,1.0941,-0.778
1.401402,18,1,746777.78,3150583.94,18.399,1.1024,-0.3396
1.401402,28,3,746838.14,3150498.13,23.4479,1.04,-0.5688
1.401402,12,1,746780.74,3150556.45,23.4163,-0.0521,0.9486
1.401402,45,3,746809.08,3150580.32,23.6435,-0.5541,0.1222
1.401402,35,1,746764.95,3150551.36,29.6686,0.8201,-1.2878
1.401402,29,3,746793.82,3150508.89,20.9474,0.0401,0.9797
1.401402,38,3,746859.26,3150516.89,26.0273,0.6002,-0.7352
1.401402,14,1,746812.09,3150576.53,21.4407,-0.2235,0.5108
1.401402,26,4,746833.59,3150505.33,14.8583,-0.2082,-0.1401
1.401402,32,2,746850.59,3150491.62,6.4378,-0.6396,-0.0273
1.401402,20,8,746848.09,3150497.45,9.1385,0.4586,-0.0129
1.401402,10,1,746807.58,3150573.51,15.9772,-0.642,0.5814
1.401402,37,2,746844.26,3150535.41,25.9596,-0.2066,0.9028
1.401402,17,1,746839.03,3150529.97,23.4432,0.3054,1.4918
1.401402,33,1,746822.2,3150502.24,23.3673,0.6637,-0.7525
1.401402,42,3,746810.61,3150497.85,0.0135,-0.0198,0.1039
1.401402,3,1,746855.12,3150490.24,7.6382,-0.9053,0.0717
1.401402,23,3,746765.3,3150538.98,0.0136,-0.0336,-0.0036
1.401402,16,1,746766.69,3150532.35,0.1372,-0.0108,-0.0271
1.401402,13,1,746847.03,3150562.2,14.9289,0.2638,-0.2341
1.401402,34,3,746811.12,3150510.31,23.845,-0.0097,1.6447
1.401402,41,3,746835.99,3150519.92,26.7381,-0.7517,1.1041
1.601602,45,3,746810.35,3150580.04,23.2279,-0.5887,0.1843
1.601602,1,1,746807.99,3150507.09,24.7741,0.4589,0.5664
1.601602,8,1,746769.81,3150588.62,12.3653,0.73,-0.3207
1.601602,33,1,746820.89,3150502.24,23.8496,0.667,-0.7485
1.601602,13,1,746846.99,3150561.38,15.2021,0.4742,-0.1788
1.601602,37,2,746843.87,3150534.01,25.7406,-0.3996,1.122
1.601602,32,2,746850.33,3150491.82,6.0717,-0.3703,-0.0845
1.601602,40,3,746833.65,3150519.9,22.5021,-0.9906,1.114
1.601602,41,3,746834.98,3150518.8,26.0717,-1.1342,1.1053
1.601602,21,3,746858.72,3150522.19,27.6855,0.5675,-1.1885
1.601602,2,2,746818.57,3150576.46,20.4318,0.2017,1.0933
1.601602,26,4,746832.76,3150505.46,14.6455,-0.3642,-0.1151
